1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4109,1.4188,1.4259,1.4323,1.438,1.443,1.4476,1.4516,1.4551,1.4582,1.461,1.4634,1.4655,1.4673,1.4689,1.4702,1.4714,1.4724,1.4733,1.474,1.4747,1.4752,1.4756,1.476,1.4763,1.4766,1.4768,1.477,1.4771,1.4773,1.4774,1.4774,1.4775,1.4776,1.4776,1.4776,1.4777,1.4777,1.4777,1.4777,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778
1.746,1.7605,1.7741,1.7867,1.7984,1.8093,1.8193,1.8286,1.8372,1.8451,1.8524,1.8591,1.8653,1.8709,1.8761,1.8808,1.8851,1.889,1.8925,1.8958,1.8987,1.9013,1.9037,1.9059,1.9078,1.9095,1.9111,1.9125,1.9137,1.9148,1.9158,1.9167,1.9174,1.9181,1.9187,1.9192,1.9197,1.9201,1.9205,1.9208,1.9211,1.9213,1.9215,1.9217,1.9219,1.922,1.9221,1.9222,1.9223,1.9224,1.9225,1.9225,1.9226,1.9226,1.9227,1.9227,1.9227,1.9227,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229,1.9229
2.0318,2.052,2.0712,2.0893,2.1063,2.1224,2.1376,2.1518,2.1652,2.1778,2.1896,2.2007,2.211,2.2207,2.2298,2.2382,2.2461,2.2534,2.2603,2.2666,2.2725,2.278,2.283,2.2877,2.292,2.296,2.2997,2.3031,2.3062,2.3091,2.3117,2.3141,2.3163,2.3184,2.3202,2.3219,2.3234,2.3248,2.3261,2.3272,2.3283,2.3292,2.3301,2.3308,2.3315,2.3322,2.3327,2.3332,2.3337,2.3341,2.3345,2.3348,2.3351,2.3353,2.3356,2.3358,2.336,2.3361,2.3363,2.3364,2.3365,2.3366,2.3367,2.3368,2.3368,2.3369,2.337,2.337,2.337,2.3371,2.3371,2.3371,2.3372,2.3372,2.3372,2.3372,2.3372,2.3372,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373,2.3373
2.2796,2.3048,2.3289,2.3518,2.3736,2.3943,2.4141,2.4328,2.4506,2.4675,2.4835,2.4986,2.513,2.5265,2.5394,2.5515,2.5629,2.5737,2.5839,2.5934,2.6024,2.6109,2.6189,2.6263,2.6333,2.6399,2.646,2.6518,2.6572,2.6622,2.6669,2.6712,2.6753,2.6791,2.6826,2.6859,2.6889,2.6917,2.6944,2.6968,2.699,2.7011,2.703,2.7047,2.7064,2.7079,2.7092,2.7105,2.7117,2.7127,2.7137,2.7146,2.7154,2.7161,2.7168,2.7174,2.718,2.7185,2.719,2.7194,2.7198,2.7202,2.7205,2.7208,2.721,2.7213,2.7215,2.7217,2.7218,2.722,2.7221,2.7222,2.7224,2.7225,2.7225,2.7226,2.7227,2.7228,2.7228,2.7229,2.7229,2.723,2.723,2.723,2.723,2.7231,2.7231,2.7231,2.7231,2.7231,2.7232,2.7232,2.7232,2.7232,2.7232,2.7232,2.7232,2.7232,2.7232,2.7232
2.496,2.5256,2.554,2.5811,2.6072,2.6321,2.6559,2.6787,2.7004,2.7212,2.7411,2.76,2.7781,2.7953,2.8116,2.8272,2.8421,2.8562,2.8696,2.8823,2.8944,2.9058,2.9167,2.927,2.9367,2.9459,2.9546,2.9629,2.9706,2.978,2.9849,2.9914,2.9975,3.0033,3.0087,3.0139,3.0187,3.0232,3.0274,3.0313,3.035,3.0385,3.0418,3.0448,3.0476,3.0503,3.0527,3.055,3.0572,3.0591,3.061,3.0627,3.0643,3.0658,3.0671,3.0684,3.0696,3.0707,3.0717,3.0726,3.0734,3.0742,3.0749,3.0756,3.0762,3.0768,3.0773,3.0778,3.0782,3.0786,3.079,3.0793,3.0796,3.0799,3.0801,3.0803,3.0806,3.0807,3.0809,3.0811,3.0812,3.0813,3.0815,3.0816,3.0817,3.0817,3.0818,3.0819,3.0819,3.082,3.082,3.0821,3.0821,3.0822,3.0822,3.0822,3.0822,3.0822,3.0822,3.0822
2.6864,2.7198,2.752,2.7829,2.8127,2.8413,2.8688,2.8952,2.9205,2.9449,2.9682,2.9906,3.012,3.0325,3.0522,3.071,3.089,3.1062,3.1227,3.1384,3.1534,3.1677,3.1814,3.1944,3.2068,3.2186,3.2299,3.2405,3.2507,3.2604,3.2696,3.2783,3.2866,3.2944,3.3018,3.3089,3.3155,3.3218,3.3278,3.3334,3.3388,3.3438,3.3485,3.353,3.3572,3.3612,3.3649,3.3684,3.3717,3.3749,3.3778,3.3805,3.3831,3.3855,3.3877,3.3898,3.3918,3.3936,3.3953,3.3969,3.3984,3.3998,3.4011,3.4023,3.4035,3.4045,3.4055,3.4064,3.4072,3.408,3.4087,3.4094,3.41,3.4106,3.4111,3.4116,3.412,3.4124,3.4128,3.4132,3.4135,3.4138,3.414,3.4143,3.4145,3.4147,3.4149,3.415,3.4152,3.4153,3.4155,3.4156,3.4156,3.4157,3.4158,3.4158,3.4159,3.4159,3.4159,3.4159
2.8547,2.8915,2.927,2.9613,2.9944,3.0263,3.0571,3.0867,3.1153,3.1428,3.1693,3.1948,3.2193,3.2429,3.2655,3.2873,3.3082,3.3283,3.3476,3.3661,3.3838,3.4008,3.4171,3.4327,3.4476,3.4619,3.4756,3.4887,3.5012,3.5131,3.5245,3.5354,3.5457,3.5556,3.5651,3.5741,3.5826,3.5908,3.5985,3.6059,3.6129,3.6195,3.6259,3.6319,3.6376,3.6429,3.6481,3.6529,3.6575,3.6618,3.6659,3.6698,3.6735,3.6769,3.6802,3.6833,3.6862,3.6889,3.6915,3.6939,3.6962,3.6983,3.7004,3.7023,3.704,3.7057,3.7073,3.7087,3.7101,3.7114,3.7126,3.7137,3.7147,3.7157,3.7166,3.7175,3.7182,3.719,3.7196,3.7203,3.7209,3.7214,3.7219,3.7224,3.7228,3.7232,3.7235,3.7238,3.7241,3.7244,3.7246,3.7248,3.725,3.7252,3.7253,3.7254,3.7255,3.7255,3.7256,3.7256
3.0038,3.0436,3.0822,3.1195,3.1555,3.1904,3.2241,3.2566,3.2881,3.3185,3.3478,3.3761,3.4034,3.4298,3.4551,3.4796,3.5032,3.5259,3.5478,3.5688,3.5891,3.6086,3.6273,3.6453,3.6627,3.6793,3.6952,3.7106,3.7253,3.7394,3.7529,3.7659,3.7783,3.7902,3.8015,3.8124,3.8229,3.8328,3.8423,3.8514,3.8601,3.8684,3.8763,3.8839,3.8911,3.898,3.9045,3.9107,3.9166,3.9223,3.9276,3.9327,3.9376,3.9422,3.9465,3.9507,3.9546,3.9583,3.9619,3.9652,3.9684,3.9714,3.9742,3.9769,3.9794,3.9818,3.984,3.9862,3.9882,3.9901,3.9918,3.9935,3.9951,3.9965,3.9979,3.9992,4.0004,4.0016,4.0026,4.0036,4.0045,4.0054,4.0062,4.0069,4.0076,4.0083,4.0088,4.0094,4.0098,4.0103,4.0107,4.011,4.0113,4.0116,4.0118,4.012,4.0121,4.0122,4.0123,4.0123
3.1365,3.179,3.2202,3.2601,3.2988,3.3363,3.3727,3.4078,3.4419,3.4748,3.5067,3.5376,3.5674,3.5962,3.6241,3.651,3.6771,3.7022,3.7264,3.7498,3.7724,3.7942,3.8152,3.8355,3.855,3.8738,3.8919,3.9093,3.9261,3.9422,3.9577,3.9727,3.987,4.0008,4.0141,4.0268,4.039,4.0507,4.062,4.0727,4.0831,4.093,4.1025,4.1116,4.1202,4.1286,4.1365,4.1441,4.1514,4.1584,4.165,4.1714,4.1774,4.1832,4.1887,4.194,4.199,4.2037,4.2083,4.2126,4.2167,4.2206,4.2243,4.2278,4.2312,4.2344,4.2374,4.2402,4.2429,4.2455,4.2479,4.2502,4.2524,4.2544,4.2564,4.2582,4.2599,4.2615,4.263,4.2644,4.2658,4.267,4.2682,4.2692,4.2702,4.2712,4.272,4.2728,4.2735,4.2742,4.2748,4.2753,4.2757,4.2761,4.2765,4.2768,4.277,4.2771,4.2772,4.2773
3.2546,3.2995,3.3431,3.3854,3.4265,3.4663,3.505,3.5425,3.5789,3.6142,3.6484,3.6815,3.7137,3.7448,3.7749,3.804,3.8323,3.8596,3.886,3.9116,3.9363,3.9602,3.9833,4.0056,4.0271,4.048,4.0681,4.0874,4.1062,4.1242,4.1416,4.1584,4.1746,4.1902,4.2052,4.2196,4.2335,4.2469,4.2598,4.2722,4.2841,4.2956,4.3066,4.3172,4.3273,4.3371,4.3465,4.3554,4.3641,4.3723,4.3802,4.3878,4.3951,4.402,4.4087,4.4151,4.4211,4.427,4.4325,4.4379,4.4429,4.4478,4.4524,4.4568,4.461,4.465,4.4688,4.4725,4.4759,4.4792,4.4823,4.4853,4.4881,4.4908,4.4933,4.4957,4.4979,4.5001,4.5021,4.504,4.5057,4.5074,4.509,4.5104,4.5118,4.513,4.5142,4.5153,4.5163,4.5172,4.518,4.5187,4.5193,4.5199,4.5204,4.5208,4.5211,4.5213,4.5214,4.5214
3.3599,3.4069,3.4526,3.497,3.5402,3.5822,3.623,3.6626,3.7011,3.7385,3.7748,3.81,3.8442,3.8773,3.9095,3.9407,3.9709,4.0002,4.0286,4.0562,4.0828,4.1087,4.1337,4.1579,4.1813,4.204,4.2259,4.2472,4.2677,4.2875,4.3067,4.3252,4.3431,4.3603,4.377,4.3931,4.4086,4.4236,4.4381,4.452,4.4654,4.4784,4.4908,4.5028,4.5144,4.5255,4.5363,4.5466,4.5565,4.566,4.5752,4.584,4.5924,4.6005,4.6083,4.6158,4.623,4.6298,4.6364,4.6428,4.6488,4.6546,4.6601,4.6655,4.6705,4.6754,4.68,4.6844,4.6887,4.6927,4.6965,4.7002,4.7037,4.707,4.7101,4.7131,4.7159,4.7186,4.7211,4.7235,4.7258,4.7279,4.7299,4.7318,4.7335,4.7351,4.7366,4.738,4.7393,4.7405,4.7415,4.7424,4.7433,4.744,4.7446,4.7451,4.7455,4.7458,4.746,4.746
3.4536,3.5025,3.5501,3.5964,3.6415,3.6854,3.728,3.7696,3.8099,3.8492,3.8873,3.9244,3.9604,3.9955,4.0295,4.0625,4.0946,4.1257,4.1559,4.1852,4.2137,4.2413,4.2681,4.294,4.3192,4.3436,4.3672,4.3901,4.4123,4.4338,4.4545,4.4747,4.4942,4.513,4.5312,4.5489,4.5659,4.5824,4.5983,4.6137,4.6286,4.6429,4.6568,4.6702,4.6831,4.6955,4.7075,4.7191,4.7303,4.7411,4.7514,4.7614,4.771,4.7803,4.7892,4.7977,4.806,4.8139,4.8215,4.8288,4.8358,4.8426,4.849,4.8553,4.8612,4.8669,4.8724,4.8776,4.8826,4.8874,4.8919,4.8963,4.9005,4.9044,4.9082,4.9118,4.9152,4.9185,4.9215,4.9244,4.9272,4.9298,4.9322,4.9345,4.9366,4.9386,4.9405,4.9422,4.9438,4.9452,4.9465,4.9477,4.9487,4.9496,4.9504,4.951,4.9515,4.9519,4.9521,4.9522
3.5375,3.5881,3.6374,3.6855,3.7323,3.7779,3.8222,3.8654,3.9075,3.9484,3.9883,4.0271,4.0648,4.1015,4.1371,4.1718,4.2055,4.2383,4.2702,4.3011,4.3312,4.3604,4.3888,4.4164,4.4431,4.4691,4.4942,4.5187,4.5424,4.5654,4.5877,4.6093,4.6303,4.6506,4.6702,4.6893,4.7078,4.7256,4.7429,4.7597,4.7759,4.7915,4.8067,4.8214,4.8355,4.8492,4.8625,4.8753,4.8876,4.8995,4.9111,4.9222,4.9329,4.9432,4.9532,4.9628,4.972,4.981,4.9896,4.9978,5.0058,5.0134,5.0208,5.0279,5.0347,5.0412,5.0475,5.0535,5.0592,5.0647,5.07,5.0751,5.0799,5.0845,5.0889,5.0931,5.0971,5.1009,5.1046,5.108,5.1112,5.1143,5.1172,5.1199,5.1224,5.1248,5.127,5.129,5.1309,5.1326,5.1342,5.1356,5.1368,5.1379,5.1388,5.1396,5.1402,5.1406,5.1409,5.1409
3.6125,3.6646,3.7155,3.765,3.8133,3.8604,3.9063,3.9511,3.9947,4.0371,4.0785,4.1188,4.158,4.1962,4.2334,4.2696,4.3048,4.3391,4.3724,4.4049,4.4364,4.4671,4.4969,4.5259,4.5541,4.5815,4.6081,4.634,4.6591,4.6835,4.7072,4.7302,4.7525,4.7741,4.7951,4.8155,4.8353,4.8544,4.873,4.891,4.9085,4.9254,4.9418,4.9576,4.973,4.9879,5.0023,5.0162,5.0297,5.0427,5.0553,5.0675,5.0792,5.0906,5.1016,5.1122,5.1224,5.1323,5.1418,5.151,5.1599,5.1684,5.1766,5.1845,5.1922,5.1995,5.2065,5.2133,5.2198,5.2261,5.232,5.2378,5.2433,5.2485,5.2536,5.2583,5.2629,5.2673,5.2714,5.2754,5.2791,5.2826,5.2859,5.2891,5.292,5.2948,5.2973,5.2997,5.3019,5.3039,5.3057,5.3073,5.3088,5.31,5.3111,5.312,5.3127,5.3132,5.3135,5.3136
3.6798,3.7332,3.7854,3.8364,3.886,3.9345,3.9818,4.0279,4.0728,4.1167,4.1594,4.2011,4.2417,4.2812,4.3198,4.3573,4.3939,4.4295,4.4642,4.498,4.5309,4.5629,4.5941,4.6244,4.6539,4.6826,4.7105,4.7377,4.7641,4.7897,4.8147,4.8389,4.8625,4.8854,4.9076,4.9292,4.9502,4.9705,4.9903,5.0095,5.0281,5.0461,5.0636,5.0806,5.0971,5.1131,5.1285,5.1435,5.158,5.1721,5.1857,5.1989,5.2116,5.224,5.2359,5.2475,5.2586,5.2694,5.2798,5.2899,5.2996,5.309,5.318,5.3267,5.3351,5.3432,5.351,5.3585,5.3657,5.3727,5.3793,5.3857,5.3919,5.3977,5.4033,5.4087,5.4139,5.4187,5.4234,5.4278,5.432,5.436,5.4398,5.4433,5.4466,5.4498,5.4527,5.4554,5.4578,5.4601,5.4622,5.464,5.4657,5.4671,5.4683,5.4693,5.4701,5.4707,5.471,5.4711
3.7403,3.795,3.8484,3.9006,3.9515,4.0012,4.0497,4.097,4.1432,4.1883,4.2323,4.2752,4.317,4.3578,4.3976,4.4363,4.4742,4.511,4.5469,4.5819,4.616,4.6493,4.6816,4.7131,4.7438,4.7737,4.8028,4.8312,4.8587,4.8855,4.9116,4.937,4.9617,4.9858,5.0091,5.0318,5.0539,5.0753,5.0962,5.1164,5.1361,5.1552,5.1738,5.1918,5.2093,5.2262,5.2427,5.2587,5.2742,5.2892,5.3037,5.3178,5.3315,5.3448,5.3576,5.37,5.382,5.3937,5.4049,5.4158,5.4263,5.4365,5.4463,5.4557,5.4649,5.4737,5.4822,5.4904,5.4983,5.5059,5.5132,5.5202,5.5269,5.5334,5.5395,5.5455,5.5511,5.5565,5.5617,5.5666,5.5712,5.5756,5.5798,5.5837,5.5874,5.5909,5.5941,5.5971,5.5999,5.6024,5.6047,5.6068,5.6086,5.6102,5.6116,5.6127,5.6136,5.6142,5.6146,5.6147
3.7944,3.8502,3.9047,3.958,4.01,4.0608,4.1104,4.1588,4.2061,4.2523,4.2974,4.3414,4.3844,4.4263,4.4671,4.507,4.546,4.5839,4.6209,4.657,4.6923,4.7266,4.76,4.7926,4.8244,4.8554,4.8856,4.915,4.9436,4.9715,4.9986,5.0251,5.0508,5.0759,5.1003,5.124,5.1471,5.1695,5.1914,5.2126,5.2333,5.2534,5.2729,5.2919,5.3103,5.3282,5.3456,5.3625,5.3788,5.3948,5.4102,5.4252,5.4397,5.4538,5.4674,5.4807,5.4935,5.5059,5.518,5.5296,5.5409,5.5518,5.5623,5.5725,5.5823,5.5918,5.601,5.6098,5.6184,5.6266,5.6345,5.6421,5.6494,5.6564,5.6631,5.6696,5.6757,5.6816,5.6872,5.6926,5.6977,5.7025,5.7071,5.7114,5.7154,5.7192,5.7228,5.7261,5.7291,5.7319,5.7344,5.7367,5.7387,5.7405,5.7419,5.7432,5.7442,5.7448,5.7453,5.7454
3.8432,3.9,3.9555,4.0098,4.0628,4.1146,4.1652,4.2147,4.263,4.3102,4.3562,4.4013,4.4452,4.4881,4.53,4.5709,4.6108,4.6498,4.6878,4.7249,4.7611,4.7964,4.8309,4.8645,4.8973,4.9292,4.9604,4.9907,5.0203,5.0492,5.0773,5.1047,5.1314,5.1574,5.1827,5.2074,5.2314,5.2548,5.2775,5.2997,5.3212,5.3422,5.3626,5.3824,5.4017,5.4205,5.4387,5.4564,5.4736,5.4904,5.5066,5.5224,5.5377,5.5526,5.567,5.581,5.5946,5.6077,5.6205,5.6328,5.6448,5.6564,5.6676,5.6784,5.6889,5.699,5.7088,5.7183,5.7274,5.7362,5.7446,5.7528,5.7606,5.7681,5.7754,5.7823,5.7889,5.7953,5.8013,5.8071,5.8126,5.8178,5.8227,5.8274,5.8318,5.8359,5.8397,5.8433,5.8466,5.8496,5.8523,5.8548,5.857,5.8589,5.8605,5.8619,5.8629,5.8637,5.8641,5.8643
3.8869,3.9445,4.0009,4.0561,4.11,4.1627,4.2142,4.2645,4.3137,4.3618,4.4088,4.4547,4.4996,4.5434,4.5862,4.628,4.6688,4.7087,4.7476,4.7856,4.8227,4.859,4.8943,4.9288,4.9625,4.9953,5.0273,5.0586,5.0891,5.1188,5.1478,5.1761,5.2036,5.2305,5.2567,5.2822,5.307,5.3313,5.3548,5.3778,5.4002,5.422,5.4432,5.4638,5.4839,5.5035,5.5225,5.541,5.5589,5.5764,5.5934,5.6099,5.626,5.6416,5.6567,5.6714,5.6857,5.6995,5.7129,5.7259,5.7385,5.7508,5.7626,5.7741,5.7851,5.7959,5.8062,5.8162,5.8259,5.8352,5.8442,5.8529,5.8612,5.8692,5.8769,5.8843,5.8914,5.8982,5.9046,5.9108,5.9167,5.9223,5.9275,5.9325,5.9372,5.9416,5.9457,5.9496,5.9531,5.9563,5.9593,5.9619,5.9643,5.9663,5.9681,5.9695,5.9707,5.9715,5.972,5.9721
3.9261,3.9846,4.0418,4.0977,4.1524,4.2059,4.2583,4.3094,4.3594,4.4083,4.4561,4.5029,4.5485,4.5932,4.6368,4.6794,4.7211,4.7617,4.8015,4.8403,4.8782,4.9153,4.9514,4.9867,5.0212,5.0549,5.0877,5.1198,5.151,5.1816,5.2114,5.2404,5.2688,5.2964,5.3234,5.3497,5.3753,5.4003,5.4246,5.4483,5.4715,5.494,5.516,5.5373,5.5581,5.5784,5.5981,5.6173,5.636,5.6542,5.6719,5.6891,5.7058,5.722,5.7378,5.7532,5.7681,5.7825,5.7966,5.8102,5.8234,5.8362,5.8486,5.8606,5.8723,5.8836,5.8945,5.905,5.9152,5.925,5.9345,5.9436,5.9524,5.9609,5.969,5.9768,5.9843,5.9915,5.9983,6.0049,6.0111,6.017,6.0226,6.0279,6.0329,6.0376,6.0419,6.046,6.0497,6.0532,6.0563,6.0592,6.0617,6.0638,6.0657,6.0672,6.0684,6.0693,6.0698,6.07
3.9614,4.0206,4.0785,4.1352,4.1906,4.2448,4.2979,4.3498,4.4005,4.4501,4.4987,4.5461,4.5926,4.6379,4.6823,4.7256,4.768,4.8094,4.8499,4.8895,4.9281,4.9659,5.0028,5.0388,5.0741,5.1084,5.142,5.1748,5.2068,5.2381,5.2686,5.2983,5.3274,5.3558,5.3834,5.4104,5.4368,5.4624,5.4875,5.5119,5.5357,5.5589,5.5816,5.6036,5.6251,5.646,5.6664,5.6862,5.7056,5.7244,5.7427,5.7605,5.7778,5.7947,5.8111,5.827,5.8425,5.8575,5.8721,5.8863,5.9001,5.9134,5.9264,5.9389,5.9511,5.9628,5.9742,5.9852,5.9959,6.0062,6.0161,6.0257,6.0349,6.0438,6.0523,6.0605,6.0684,6.0759,6.0831,6.09,6.0966,6.1028,6.1087,6.1143,6.1195,6.1245,6.1291,6.1334,6.1373,6.141,6.1443,6.1472,6.1499,6.1522,6.1542,6.1558,6.1571,6.158,6.1585,6.1587
3.993,4.0528,4.1114,4.1687,4.2248,4.2796,4.3333,4.3859,4.4373,4.4876,4.5368,4.5849,4.632,4.678,4.723,4.7671,4.8101,4.8522,4.8933,4.9336,4.9729,5.0113,5.0489,5.0856,5.1214,5.1565,5.1907,5.2242,5.2568,5.2888,5.3199,5.3503,5.3801,5.4091,5.4374,5.465,5.492,5.5183,5.544,5.569,5.5935,5.6173,5.6405,5.6632,5.6853,5.7068,5.7278,5.7482,5.7681,5.7875,5.8064,5.8248,5.8427,5.8601,5.877,5.8935,5.9095,5.9251,5.9402,5.9549,5.9692,5.983,5.9964,6.0095,6.0221,6.0343,6.0462,6.0577,6.0687,6.0795,6.0898,6.0998,6.1094,6.1187,6.1276,6.1361,6.1444,6.1522,6.1598,6.1669,6.1738,6.1803,6.1865,6.1923,6.1978,6.203,6.2078,6.2123,6.2165,6.2203,6.2238,6.2269,6.2297,6.2321,6.2342,6.2359,6.2372,6.2382,6.2388,6.239
4.0214,4.0818,4.1409,4.1988,4.2555,4.311,4.3652,4.4184,4.4704,4.5212,4.571,4.6198,4.6674,4.7141,4.7597,4.8043,4.8479,4.8906,4.9324,4.9732,5.0131,5.0522,5.0903,5.1276,5.1641,5.1997,5.2346,5.2686,5.3019,5.3344,5.3662,5.3972,5.4275,5.4571,5.486,5.5142,5.5417,5.5686,5.5949,5.6205,5.6455,5.6699,5.6937,5.7169,5.7395,5.7616,5.7831,5.8041,5.8246,5.8445,5.8639,5.8828,5.9012,5.9191,5.9366,5.9535,5.97,5.9861,6.0017,6.0168,6.0316,6.0459,6.0598,6.0732,6.0863,6.099,6.1112,6.1231,6.1346,6.1457,6.1564,6.1668,6.1767,6.1864,6.1956,6.2045,6.213,6.2212,6.2291,6.2365,6.2437,6.2504,6.2569,6.263,6.2687,6.2741,6.2791,6.2838,6.2881,6.2921,6.2957,6.299,6.3019,6.3044,6.3066,6.3084,6.3098,6.3108,6.3114,6.3116
4.0466,4.1075,4.1672,4.2256,4.2828,4.3387,4.3935,4.4472,4.4997,4.5511,4.6014,4.6507,4.6989,4.7461,4.7922,4.8374,4.8816,4.9248,4.9671,5.0084,5.0489,5.0885,5.1272,5.165,5.202,5.2382,5.2736,5.3082,5.342,5.375,5.4073,5.4388,5.4697,5.4998,5.5292,5.5579,5.586,5.6134,5.6402,5.6663,5.6919,5.7168,5.7411,5.7648,5.7879,5.8105,5.8325,5.854,5.8749,5.8953,5.9152,5.9346,5.9534,5.9718,5.9897,6.0072,6.0241,6.0406,6.0566,6.0722,6.0874,6.1021,6.1164,6.1303,6.1437,6.1568,6.1694,6.1817,6.1935,6.205,6.2161,6.2268,6.2371,6.247,6.2566,6.2658,6.2746,6.2831,6.2912,6.2989,6.3063,6.3134,6.32,6.3263,6.3323,6.3379,6.3431,6.348,6.3525,6.3566,6.3603,6.3637,6.3667,6.3694,6.3716,6.3734,6.3749,6.3759,6.3766,6.3768
